code	id	name	name_np	parent
2266	2266	Barahapokhari Rural Municipality	बराहपोखरी गाउँपालिका	2015
2275	2275	Udayepurgadhi Rural Municipality	उदयपुरगढी गाउँपालिाका	2018
2276	2276	Tapli Rural Municipality	ताप्ली गाउँपालिका	2018
2279	2279	Raitamai Rural Municipality	रौतामाई गाउँपालिका	2018
2290	2290	Shurugha Municipaltiy	सुरूङगा नगरपालीका	2022
2291	2291	BADHAIYATAL RURAL MUNICIPALITY	बढैयाताल गाउँपालिका	2065
2296	2296	Geruya Rural Municipality	गेरूवा गाउँपालिका	2065
2297	2297	Lahan Municipality	लहान नगरपालीका	2023
2300	2300	Dhangadimai Municipality	धनगढीमाई नगरपालीका	2023
2303	2303	Siraha Municipality	सिरहा नगरपालीका	2023
2304	2304	Golbazer Municipaltiy	गोलबजार नगरपालीका	2023
2305	2305	Mahadewa Rural Municipaltiy	महादेवा गाउँपालिका	2022
2307	2307	Mirchaya Municipality	मिर्चैया नगरपालीका	2023
2209	2209	Thulung Dudhkoshi Rural Municipality	थुलुङ दुधकोशी गाउँपालिका	2016
2223	2223	Aiselukharka Rural Municipality	ऐसेलुखर्क गाउँपालिका	2015
2245	2245	Diprung Chuichumma Rural Municipality	दिप्रुङ चुइचुम्मा गाउँपालिका	2015
2281	2281	Limchungbung Rural Municipality	लिम्चुङ्बुङ गाउँपालिका	2018
2211	2211	Salpasilichho Rural Municipality	साल्पासिलिछो गाउँपालिका	2014
2212	2212	Aamchok Rural Municipality	आमचोक गाउँपालिका	2014
2221	2221	Diktel Rupakot  Majhugadhi Rural Municipaltiy	दिक्तेल रुपाकोट मझुवागढी नगरपालिका	2015
2208	2208	Khumbu Pasanglamu Rural Minicipality	खुम्बु पासाङल्हामु गाउँपालिका	2016
2214	2214	Likhu Pike Rural Municipaltiy	लिखु पिके गाउँपालिका	2016
2219	2219	Khijudemba Rural Municipality	खिजीदेम्वा गाउँपालिका	2017
2248	2248	Molung Rural Municipality	मोलुङ गाउँपालिका	2017
2249	2249	Likhu Rural Municipality	लिखु गाउँपालिका	2017
2265	2265	Sunkoshi Rural Municipality	सुनकोसी गाउँपालिका	2017
2220	2220	Champadebi  Rural Municipality	चम्पादेवी गाउँपालिका	2017
2274	2274	Kanchanrup  Municipality	कन्चनरूप नगरपालीका	2022
2270	2270	Rajbiraj Municipality	राजबिराज नगरपालीका	2022
2277	2277	Daknesrari Municipality	डाक्नेश्ररी नगरपालीका	2022
2284	2284	Khadak Municipality	खडक नगरपालीका	2022
2286	2286	Shambhunath Municipality	शम्भुनाथ नगरपालीका	2022
2294	2294	Hanumannagar Kankaliny Municipality	हनुमाननगर कङकालिनी नगरपालिका	2022
2299	2299	Krishnasabran Rural Municipality	कृष्णासबरन गाउँपालिका	2022
2302	2302	Chhitramasta Rural Municipality	छित्रमस्ता गाउँपालिका	2022
2308	2308	Tirahut Rural Municipality	तिरहुत गाउँपालिका	2022
2309	2309	Kalyanpur Municipality	कल्याणपुर नगरपालीका	2023
2310	2310	Bhagwanpur Rural Municipaltiy	भगवानपुर गाउँपालिका	2023
2311	2311	TILATHI KOIDI RURAL MUNICIPALITY	तिलाठी कोईलाडी गाउँपालिका	2022
2312	2312	Aurahi Rural Municipality	औरही गाउँपालिका	2023
2313	2313	Rupani Rural Municipaltiy	रूपनी गाउँपालिका	2022
2315	2315	Bishnupur Rural Municipality	विष्णुपुर गाउँपालिका	2023
2319	2319	JHIMRUK RURAL MUNICIPALITY	भिमरूक गाउँपालिका	2062
2321	2321	Bisnupur   Rural Municipaltiy	बिष्णुपुर गाउँपालिका	2022
2324	2324	GAUMUKHI RURAL MUNICIPALITY	गौमुखी गाउँपालिका	2062
2325	2325	Mandabi Rural Municipality	माण्डवी गाउँपालिका	2062
2326	2326	Bariyarpatti Rural Municipality	वरियारपटी गाउँपालिका	2023
2329	2329	Sarumarani  Rural Municipality	सरूमारानी गाउँपालिका	2062
2331	2331	Laxmipur Patari Rural Municipality	लक्ष्मीपुर पतारी गाउँपालिका	2023
2332	2332	MALLARANI RURAL MUNICIPALITY	मल्लारानी गाउँपालिका	2062
2334	2334	NAUBAHINI RURAL MUNICIPALITY	नौबहिनी गाउँपालिका	2062
2335	2335	Naraha Rural Municipality	नरहा गाउँपालिका	2023
2338	2338	Yeraoti Rural Municipality	एेरावती गाउँपालिका	2062
